,Nhost,Nsp
Acraea,7,49
Actinote,7,95
Adelpha,22,96
Altiapa,1,4
Altinote,1,13
Amathusia,2,10
Amauris,3,15
Amnosia,1,1
Amphidecta,1,3
Anaea,4,1
Anartia,7,5
Anetia,2,5
Aphantopus,2,1
Araschnia,1,8
Archaeoprepona,16,8
Archeuptychia,1,1
Archimestra,1,1
Arethusana,1,1
Argynnina,1,2
Argynnis,4,39
Argyronympha,1,5
Argyrophenga,1,1
Argyrophorus,1,4
Ariadne,4,11
Asterocampa,3,4
Aterica,4,2
Athesis,1,3
Athyma,6,36
Athyrtis,1,1
Atlantea,1,4
Auca,1,4
Bassarona,2,7
Batesia,1,1
Bebearia,5,81
Bematistes,1,22
Berberia,1,2
Bia,1,2
Biblis,3,1
Bicyclus,2,81
Boloria,7,46
Brassolis,3,6
Brenthis,4,4
Brevioleria,1,5
Brintesia,2,1
Byblia,2,2
Caerois,3,2
Caeruleuptychia,1,19
Caligo,13,21
Calinaga,1,7
Calisto,1,42
Callicore,1,20
Callithomia,1,3
Cassionympha,2,1
Castilia,1,13
Catacroptera,2,1
Catoblepia,3,8
Catonephele,5,11
Catuna,2,5
Cepheuptychia,1,5
Ceratinia,1,4
Cercyonis,2,4
Cethosia,6,15
Charaxes,13,88
Chazara,1,10
Chersonesia,1,5
Chillanella,1,1
Chitoria,1,2
Chloreuptychia,1,12
Chlosyne,6,26
Chonala,1,5
Cyrestis,2,19
Daedalma,1,11
Danaus,10,12
Dasyopthalma,2,2
Diaethria,5,12
Dichorragia,2,2
Dione,2,3
Dira,1,4
Dircenna,1,6
Discophora,2,10
Dodonidia,2,1
Doleschallia,4,10
Dophla,4,1
Doxocopa,2,15
Erebia,3,76
Erebiola,1,1
Eresia,3,20
Eretris,1,29
Erichthodes,2,5
Etcheverrius,1,2
Eteona,1,1
Ethope,1,4
Eueides,3,12
Eulaceura,1,1
Hamanumida,4,1
Harjesia,1,5
Harma,4,1
Harsiesis,1,3
Heliconius,1,43
Henotesia,3,11
Hermeuptychia,2,8
Hestina,2,6
Hestinalis,1,3
Heteronympha,2,7
Heterosais,1,2
Hipparchia,2,22
Historis,5,2
Hyalenna,1,7
Hyaliris,1,13
Hypanartia,3,14
Hypna,2,1
Hypocysta,1,12
Hypoleria,1,8
Hypolimnas,11,25
Hyponephele,1,60
Hyposcada,2,10
Hypothyris,1,18
Ianussiusa,1,1
Idea,2,12
Ideopsis,2,9
Idioneurula,1,4
Issoria,6,7
Ithomia,1,24
Ituna,1,1
Janatella,2,3
Junonia,13,34
Kallima,4,10
Kallimoides,1,1
Kaniska,4,1
Kirinia,2,5
Lachnoptera,2,2
Lamprolenis,1,1
Lasiommata,1,15
Lasiophila,1,15
Lasippa,3,11
Lethe,1,92
Lexias,3,10
Libythea,3,9
Libytheana,3,4
Limenitis,9,21
Lopinga,2,9
Lucinia,1,1
Lycorea,7,3
Lyela,1,3
Lymanopoda,1,63
Mcclungia,2,1
Mechanitis,3,4
Megisto,2,2
Megoleria,1,2
Melanargia,1,23
Melanitis,1,12
Melinaea,1,11
Melitaea,6,81
Memphis,7,61
Mesoxantha,1,1
Mestra,1,1
Metamorpha,1,1
Methona,4,7
Microtia,2,1
Mimathyma,1,4
Moduza,1,9
Napeocles,1,1
Napeogenes,1,25
Narope,1,17
Nelia,1,2
Neocoenyra,1,15
Neominois,1,2
Neonympha,2,2
Neope,1,19
Neorina,2,5
Neptidopsis,1,2
Neptis,18,144
Nesoxenica,1,1
Nessaea,1,4
Nica,1,1
Nymphalis,19,6
Oeneis,2,29
Oleria,2,50
Ollantaya,1,3
Olyras,1,3
Opoptera,2,9
Opsiphanes,7,12
Oreixenica,1,6
Pierella,7,11
Pindis,1,1
Placidina,1,1
Platypthima,1,8
Poladryas,1,1
Polygonia,12,16
Scada,1,5
Stygionympha,2,8
Symbrenthia,1,18
Taenaris,5,26
Tanaecia,6,24
Tarsocera,1,7
Taydebis,1,1
Taygetis,4,28
Tegosa,4,15
Telenassa,1,7
